attacker_id,total_events,systems_targeted,targets,address_scope
A0414,250,1,Cowrie,global
A0415,250,1,Cowrie,global
A0416,250,1,Cowrie,global
A0417,250,1,Cowrie,global
A0418,250,1,Cowrie,global
A0419,250,1,Cowrie,global
A0420,250,1,Cowrie,global
A0421,250,1,Cowrie,global
A0422,250,1,Cowrie,global
A0423,250,1,Cowrie,global
A0424,250,1,Cowrie,global
A0425,250,1,Cowrie,global
A0426,250,1,Cowrie,global
A0427,250,1,Cowrie,global
A0428,250,1,Cowrie,global
A0429,250,1,Cowrie,global
A0430,250,1,Cowrie,global
A0431,250,1,Cowrie,global
A0432,250,1,Cowrie,global
A0433,250,1,Cowrie,global
A0434,250,1,Cowrie,global
A0435,250,1,Cowrie,global
A0436,249,1,Cowrie,global
A0437,249,1,Cowrie,global
A0438,249,1,Cowrie,global
A0439,249,1,Cowrie,global
A0440,249,1,Cowrie,global
A0441,249,1,Cowrie,global
A0442,249,1,Cowrie,global
A0443,249,1,Cowrie,global
A0444,249,1,Cowrie,global
A0445,248,1,Cowrie,global
A0446,248,1,Cowrie,global
A0447,248,1,Cowrie,global
A0448,248,1,Cowrie,global
A0449,248,1,Cowrie,global
A0450,248,1,Cowrie,global
A0451,248,1,Cowrie,global
A0452,248,1,Cowrie,global
A0453,247,1,Cowrie,global
A0454,247,1,Cowrie,global
A0455,247,1,Cowrie,global
A0456,247,1,Cowrie,global
A0457,247,1,Cowrie,global
A0458,246,1,Cowrie,global
A0459,246,1,Cowrie,global
A0460,246,1,Cowrie,global
A0461,246,1,Cowrie,global
A0462,246,1,Cowrie,global
A0463,246,1,Cowrie,global
A0464,246,1,Cowrie,global
A0465,246,1,Cowrie,global
A0466,246,1,Cowrie,global
A0467,246,1,Cowrie,global
A0468,246,1,Cowrie,global
A0469,245,1,Cowrie,global
A0470,245,1,Cowrie,global
A0471,245,1,Cowrie,global
A0472,245,1,Cowrie,global
A0473,245,1,Cowrie,global
A0474,245,1,Cowrie,global
A0475,245,1,Cowrie,global
A0476,245,1,Cowrie,global
A0477,245,1,Cowrie,global
A0478,245,1,Cowrie,global
A0479,245,1,Cowrie,global
A0480,245,1,Cowrie,global
A0481,245,1,Cowrie,global
A0482,244,1,Cowrie,global
A0483,244,1,Cowrie,global
A0484,244,1,Cowrie,global
A0485,244,1,Cowrie,global
A0486,243,1,Cowrie,global
A0487,243,1,Cowrie,global
A0488,243,1,Cowrie,global
A0489,243,1,Cowrie,global
A0490,243,1,Cowrie,global
A0491,243,1,Cowrie,global
A0492,243,1,Cowrie,global
A0493,242,1,Cowrie,global
A0494,242,1,Cowrie,global
A0495,242,1,Cowrie,global
A0496,242,1,Cowrie,global
A0497,242,1,Cowrie,global
A0498,242,1,Cowrie,global
A0499,241,1,Cowrie,global
A0500,241,1,Cowrie,global
A0501,241,1,Cowrie,global
A0502,241,1,Cowrie,global
A0503,240,1,Cowrie,global
A0504,239,1,Cowrie,global
A0505,239,1,Cowrie,global
A0506,238,1,Cowrie,global
A0507,238,1,Cowrie,global
A0508,238,1,Cowrie,global
A0509,238,1,Cowrie,global
A0510,238,1,Cowrie,global
A0511,237,1,Cowrie,global
A0512,237,1,Cowrie,global
A0513,237,1,Cowrie,global
A0514,236,1,Cowrie,global
A0515,236,1,Cowrie,global
A0516,236,1,Cowrie,global
A0517,236,1,Cowrie,global
A0518,236,1,Cowrie,global
A0519,235,1,Cowrie,global
A0520,235,1,Cowrie,global
A0521,235,1,Cowrie,global
A0522,235,1,Cowrie,global
A0523,235,1,Cowrie,global
A0524,235,1,Cowrie,global
A0525,234,1,Cowrie,global
A0526,234,1,Cowrie,global
A0527,234,1,Cowrie,global
A0528,234,1,Cowrie,global
A0529,234,1,Cowrie,global
A0530,234,1,Cowrie,global
A0531,234,1,Cowrie,global
A0532,234,1,Cowrie,global
A0533,234,1,Cowrie,global
A0534,233,1,Cowrie,global
A0535,232,1,Cowrie,global
A0536,232,1,Cowrie,global
A0537,232,1,Cowrie,global
A0538,232,1,Cowrie,global
A0539,232,1,Cowrie,global
A0540,232,1,Cowrie,global
A0541,232,1,Cowrie,global
A0542,231,1,Cowrie,global
A0543,231,1,Cowrie,global
A0544,231,1,Cowrie,global
A0545,231,1,Cowrie,global
A0546,230,1,Cowrie,global
A0547,230,1,Cowrie,global
A0548,230,1,Cowrie,global
A0549,230,1,Cowrie,global
A0550,229,1,Cowrie,global
A0551,229,1,Cowrie,global
A0552,229,1,Cowrie,global
A0553,229,1,Cowrie,global
A0554,229,1,Cowrie,global
A0555,229,1,Cowrie,global
A0556,229,1,Cowrie,global
A0557,228,1,Cowrie,global
A0558,228,1,Cowrie,global
A0559,228,1,Cowrie,global
A0560,228,1,Cowrie,global
A0561,228,1,Cowrie,global
A0562,227,1,Cowrie,global
A0563,227,1,Cowrie,global
A0564,227,1,Cowrie,global
A0565,227,1,Cowrie,global
A0566,226,1,Cowrie,global
A0567,226,1,Cowrie,global
A0568,226,1,Cowrie,global
A0569,226,1,Cowrie,global
A0570,225,1,Cowrie,global
A0571,224,1,Cowrie,global
A0572,224,1,Cowrie,global
A0573,224,1,Cowrie,global
A0574,223,1,Cowrie,global
A0575,223,1,Cowrie,global
A0576,223,1,Cowrie,global
A0577,223,1,Cowrie,global
A0578,222,1,Cowrie,global
A0579,221,1,Cowrie,global
A0580,221,1,Cowrie,global
A0581,221,1,Cowrie,global
A0582,220,1,Cowrie,global
A0583,220,1,Cowrie,global
A0584,219,1,Cowrie,global
A0585,219,1,Cowrie,global
A0586,218,1,Cowrie,global
A0587,218,1,Cowrie,global
A0588,218,1,Cowrie,global
A0589,217,1,Cowrie,global
A0590,217,1,Cowrie,global
A0591,217,1,Cowrie,global
A0592,217,1,Cowrie,global
A0593,216,1,Cowrie,global
A0594,216,1,Cowrie,global
A0595,216,1,Cowrie,global
A0596,216,1,Cowrie,global
A0597,215,1,Cowrie,global
A0598,215,1,Cowrie,global
A0599,214,1,Cowrie,global
A0600,214,1,Cowrie,global
A0601,213,1,Cowrie,global
A0602,213,1,Cowrie,global
A0603,213,1,Cowrie,global
A0604,213,1,Cowrie,global
A0605,212,1,Cowrie,global
A0606,211,1,Cowrie,global
A0607,210,1,Cowrie,global
A0608,210,1,Cowrie,global
A0609,210,1,Cowrie,global
A0610,209,1,Cowrie,global
A0611,209,1,Cowrie,global
A0612,209,1,Cowrie,global
A0613,207,1,Cowrie,global
A0614,207,1,Cowrie,global
A0615,206,1,Cowrie,global
A0616,204,1,Cowrie,global
A0617,204,1,Cowrie,global
A0618,204,1,Cowrie,global
A0619,204,1,Cowrie,global
A0620,203,1,Cowrie,global
A0621,202,1,Cowrie,global
A0622,202,1,Cowrie,global
A0623,202,1,Cowrie,global
A0624,200,1,Cowrie,global
A0625,200,1,Cowrie,global
A0626,200,1,Cowrie,global
A0627,200,1,Cowrie,global
A0628,199,1,Cowrie,global
A0629,197,1,Cowrie,global
A0630,197,1,Cowrie,global
A0631,196,1,Cowrie,global
A0632,195,1,Cowrie,global
A0633,193,1,Cowrie,global
A0634,193,1,Cowrie,global
A0635,191,1,Cowrie,global
A0636,191,1,Cowrie,global
A0637,190,1,Cowrie,global
A0638,189,1,Cowrie,global
A0639,189,1,Cowrie,global
